-7,-41,-35,-24,-10,-13,-3,-3,A
2,17,7,10,5,1,-18,-3,A
6,27,-12,11,7,4,6,-2,A
-5,-41,9,0,-4,3,14,0,A
-12,-73,19,-8,-3,-5,8,-2,A
-4,6,60,20,-5,-6,-13,-4,A
3,22,13,8,-3,3,10,2,A
12,-10,-31,-29,-14,-10,6,0,A
11,11,-16,13,8,1,-9,-1,A
0,1,11,2,1,3,6,2,A
0,-34,29,8,0,-1,4,6,A
-17,1,-43,-22,-8,-3,-6,-10,A
17,12,-6,-11,-6,-6,-14,-3,A
6,8,44,4,-1,-1,10,9,A
-3,-15,12,2,4,-1,-2,0,A
6,-45,-37,-8,8,4,9,-1,A
5,6,5,8,-4,1,-3,3,A
3,27,33,9,6,3,4,4,A
2,-8,46,0,2,0,1,0,A
12,-9,7,7,1,-1,-3,4,A
12,23,32,22,9,6,3,8,A
-11,7,12,0,-4,-1,-9,0,A
7,8,14,9,-2,-7,-9,0,A
8,-1,-19,16,7,4,3,3,A
-5,1,9,4,7,-2,20,3,A
-1,3,4,-25,-14,-1,-2,-1,A
5,12,-3,9,1,2,-9,-3,A
4,1,28,4,-8,-4,-8,4,A
-17,-37,-29,-11,-3,0,-1,-5,A
12,36,26,9,2,2,-4,2,A
-2,5,16,6,-3,-2,4,-2,A
-3,20,-30,-2,-3,-7,-13,3,A
-18,-50,48,1,-2,-7,-9,-9,A
-10,-10,10,-5,-6,-6,-17,-3,A
6,22,46,24,3,-1,2,3,A
8,-8,-21,-22,-9,-6,-12,5,A
12,30,36,18,3,-3,-7,0,A
6,26,28,5,4,4,17,6,A
11,13,23,-2,4,3,-3,2,A
5,1,0,-8,-6,-5,-8,-3,A
0,6,-5,-9,-1,2,-5,-2,A
-10,6,-18,-11,-3,-2,-1,-3,A
-12,-42,-83,-71,-11,-6,-3,-2,A
13,6,-6,-9,3,8,7,4,A
3,1,12,19,2,1,0,2,A
-5,-10,-31,5,5,6,-2,7,A
-11,-3,0,-8,-12,-4,1,-8,A
14,37,-19,-28,-4,7,9,0,A
17,25,48,2,-7,0,6,2,A
-36,-74,-23,11,2,-1,-14,-15,A
-3,-14,-15,-1,4,7,3,-3,B
-3,2,-22,3,-1,-2,-2,-3,B
-7,-18,-1,-13,-7,-7,-10,-8,B
-1,4,-7,-14,-5,5,10,2,B
-3,-19,-1,-28,-6,-5,-17,-8,B
4,-10,-12,27,1,2,6,-2,B
-9,-19,3,-13,-1,2,8,-1,B
8,-5,27,11,6,-1,-6,-7,B
2,15,4,22,2,-1,2,-7,B
-3,-8,28,-12,-2,-4,-6,-7,B
7,3,49,65,5,-6,-6,4,B
0,-15,-40,-21,-2,3,17,2,B
0,10,1,-42,-11,-12,-8,-9,B
0,12,-57,-29,-6,-5,-3,9,B
3,12,35,7,-1,-2,-13,-3,B
0,-1,-7,-13,-1,-1,-7,-3,B
-8,-18,-44,-31,-6,-6,7,-1,B
-1,9,36,34,-4,-2,5,5,B
0,-12,-43,-23,-4,-4,-5,6,B
6,8,8,-6,4,6,-2,3,B
-1,5,69,3,4,4,-7,-5,B
-5,5,54,25,-4,-1,3,-5,B
