S1,S2,S3,S4,S5,S6,S7,S8,Class
-10,-6,-1,5,19,7,19,5,B
20,-11,-3,9,20,-5,-4,-3,B
1,9,-2,5,-25,-15,-11,-3,B
-13,7,0,4,-5,6,-13,-2,B
-10,-19,-7,-1,9,-4,-22,-5,B
-4,-6,-6,-16,-23,-9,-8,-4,B
7,0,0,10,14,8,17,2,B
-5,-4,-2,1,41,3,1,0,B
-14,-3,-3,7,-13,7,-14,-6,B
5,9,1,3,24,11,6,3,B
-10,-5,-1,9,-2,-4,-16,-3,B
4,1,-13,-26,-3,0,1,-3,B
19,11,5,17,-10,10,9,6,B
17,12,5,9,22,4,15,1,B
12,-1,2,13,30,0,-20,1,B
7,17,3,0,40,-6,-9,-4,B
0,8,6,-3,-42,-4,-1,0,B
-3,-9,-4,-12,-1,7,-3,0,B
5,16,-1,7,45,13,-11,1,B
-25,-2,-12,-22,17,-4,-15,-8,B
-2,0,8,22,5,13,18,1,B
2,-12,2,7,-3,-6,-2,-1,B
4,24,10,-19,-37,2,-1,-3,B
4,1,-3,5,-1,12,4,-1,B
-6,-31,-11,22,4,-7,11,-1,B
-8,7,1,-18,9,5,3,4,B
2,14,-2,-27,-23,-5,-11,-2,B
-10,-2,0,3,11,-8,-11,1,B
3,10,2,-8,-7,13,8,2,B
7,3,-1,1,-40,-5,-7,1,B
-2,-5,-6,-21,-16,5,-5,-6,B
6,7,-6,7,29,12,19,0,B
-9,7,0,8,2,7,14,1,B
-4,-3,-7,-20,-38,3,8,2,B
-20,-3,11,10,-15,-4,-9,3,B
-5,-2,-3,-13,-25,-2,22,1,B
-7,16,12,23,25,8,1,4,B
10,-8,0,-9,-31,1,4,1,B
-10,-12,-1,-7,-59,-11,-11,-1,B
-4,1,-12,-18,27,-3,-3,-1,B
-5,-3,-1,9,20,5,13,0,B
10,-1,0,-4,-30,3,-1,1,B
19,-16,0,35,18,-28,-1,2,B
3,-8,-6,-8,-15,-8,15,-2,B
-9,-13,-1,-11,-16,9,-10,0,B
-11,12,-2,11,14,-4,3,-2,B
15,8,-4,12,-10,-9,-2,-3,B
-3,1,-3,14,-10,1,6,4,B
-5,-8,-1,16,30,1,-14,1,B
15,2,-1,-1,24,-2,-2,-1,B
-14,-6,4,8,54,11,17,-1,B
2,-16,-2,-22,21,6,-14,1,B
-20,-12,-6,-15,-37,-3,-10,-1,B
-3,-11,-5,-4,-25,-4,9,3,B
3,-5,5,6,2,-2,-7,1,B
-12,4,1,13,31,3,-2,3,B
9,-13,-7,5,-23,4,12,1,B
-1,16,9,-31,-20,3,11,-3,C
28,65,23,-25,-11,4,17,22,C
-11,22,6,-8,-8,-5,8,5,C
-5,-8,8,13,-20,-9,11,6,C
13,-6,-8,-33,-37,-12,-20,-11,C
-10,3,10,-17,-17,9,-19,8,C
26,-7,5,24,-10,4,-15,5,C
6,8,-8,27,-29,-15,7,-4,C
5,8,4,17,-29,10,16,0,C
21,33,-2,-8,37,-3,10,2,C
-13,2,-5,-13,5,5,-11,-9,C
-17,23,-3,-18,-73,1,6,5,C
0,-10,-6,-25,25,-24,-27,-1,C
5,-4,13,-17,27,20,7,8,C
-17,28,-6,-20,0,-15,13,-12,C
-12,-10,9,12,-3,29,-18,0,C
